id	article	journal	year
0	Personal Name Matching: New Test Collections and a Social Network based Approach.	t Trier, Mathematik/Informatik, Forschungsbericht	2006
1	Exact XML Type Checking in Polynomial Time.	t Trier, Mathematik/Informatik, Forschungsbericht	2006
2	Distributed Script - A Mobile Application for Multi-hop Ad-hoc Networks	t Trier, Mathematik/Informatik, Forschungsbericht	2006
3	The SGML/XML Web Page		2006
4	Portierung des DBLP-Systems auf ein relationales Datenbanksystem und Evaluation der Performance.		2006
5	Who's Who in the World Wide Web: Approaches to Name Disambiguation		2007
6	ckhaltebecken -.		2006
7	Regelbasierte Extraktion und asymmetrische Fusion bibliographischer Informationen.		2009
8	Service Discovery.		2008
9	Ambient Learning.		2008
10	Mobile Speech Recognition.		2008
11	Intelligent User Interfaces for Ubiquitous Computing.		2008
12	Mouth and Ear Interaction.		2008
13	Event-Based and Publish/Subscribe Communication.		2008
14	Trust and Accountability.		2008
15	Security for Ubiquitous Computing.		2008
16	Multimodal Software Engineering.		2008
17	Advanced Hands and Eyes Interaction.		2008
18	Multimodal Warehouse Project.		2008
19	Context Models and Context Awareness.		2008
20	Wireless and Mobile Communications.		2008
21	Ontologies for Scalable Services-Based Ubiquitous Computing.		2008
22	Business Grids.		2008
23	Smart Items in Real Time Enterprises.		2008
24	PROMISE.		2008
25	Multimodal and Federated Interaction.		2008
26	A Focus on Location Context.		2008
27	Opportunistic Networks.		2008
28	CoBIs.		2008
29	Adapting to the User.		2008
30	Peer-to-Peer Systems.		2008
31	Towards Adaptive Security for Ubiquitous Computing Systems.		2008
32	Bionics.		2008
33	Accounting and Charging.		2008
34	Introduction to Ubiquitous Computing.		2008
35	Real-Time Location Tracking Mashup for Enterprise.		2008
36	Ubiquitous Services and Business Processes.		2008
37	CMC Research in Latin America and Spain.		2008
38	Computer Mediated Communication and Multimodal Instruction in Higher Education.		2008
39	Locating Presence and Positions in Online Focus Group Text with Stance-Shift Analysis.		2008
40	E-Mail Distribution Lists in Adult Learning.		2008
41	Towards a Communication-Based Approach to Cyber-Bullying.		2008
42	Computer Mediated Negotiations and Deception.		2008
43	Terminological Obfuscation in Online Research.		2008
44	Affective Collaborative Instruction with Librarians.		2008
45	Human-Robot Interaction.		2008
46	Knowledge Communication with Shared Databases.		2008
47	Emergent Networks in Computer-Supported Groups.		2008
48	Computer Mediated Speech Technology.		2008
49	Millennium Leadership Inc.		2008
50	Building Identity through Online Collaboration.		2008
51	IM's Growth, Benefits, and Impact on Communication.		2008
52	Reviewer Motivations, Bias, and Credibility in Online Reviews.		2008
53	Computer Mediated Communication for the Enhancement of Psychotherapy.		2008
54	P2P File Sharing.		2008
55	Discourse and Network Analyses of Learning Conversations.		2008
56	Instant Messaging as a Hypermedium in the Making.		2008
57	Innovation and Utility in the Optical Transport Network.		2008
58	Higher Education's Use of Course Management Software.		2008
59	Linguistics of Computer-Mediated Communication.		2008
60	Virtual Collaboration in Immersive and Non-Immersive Virtual Environments.		2008
61	Accessible Design for Communication on the Web.		2008
62	CMC and the Nature of Human/ Machine Interface.		2008
63	Communicating Electronically When Too Far Away to Visit.		2008
64	Turn Taking in E-Mail Discussions.		2008
65	Deceptive Communication in E-Collaboration.		2008
66	Divergent News Media in Computer Mediated News Communication.		2008
67	Moderating Discussion Groups Using Computer Mediated Communication.		2008
68	Computer Mediated Collaboration.		2008
69	Linguistic Forms and Functions of SMS Text Messages in Nigeria.		2008
70	The Impact of Personality on Virtual Team Creativity and Quality.		2008
71	Solidarity and Rapport in Social Interaction.		2008
72	Podcasting and Really Simple Syndication (RSS).		2008
73	"An Analysis of a Decade of Research Published in the ""Journal of Computer Mediated Communication""."		2008
74	Global Culture and Computer Mediated Communication.		2008
75	E-Mentoring.		2008
76	Digital Photography.		2008
77	Seek and Ye Shall Find.		2008
78	Teaching Credibility of Sources in an Age of CMC.		2008
79	Learning and Teaching with CMC in the U.S. Higher Education Arena.		2008
80	Corporate Blogging.		2008
81	Persuasive Design.		2008
82	Preparing Participants for Computer Mediated Communication.		2008
83	Higher Order Thinking in Online Courses.		2008
84	Multitasking CMC to Study Connected Organizations.		2008
85	Human Computer Interaction and the Best Mix of Face-to-Face and E-Interactions in Educational Settings.		2008
86	Sense of Virtual Community.		2008
87	The Use of Story in Building Online Group Relationships.		2008
88	Innovations and Motivations in Online Chat.		2008
