user	article
0	0
1	1
2	1
3	1
4	2
5	2
6	2
7	2
8	3
9	4
10	5
11	6
12	7
13	8
14	9
15	10
16	11
15	12
17	13
18	14
19	15
20	15
21	16
22	17
23	17
24	18
25	18
26	19
13	19
27	20
28	21
29	21
30	21
31	22
32	23
33	24
34	24
35	24
36	24
37	24
38	24
39	25
40	25
17	26
20	27
41	28
42	28
43	29
44	30
45	31
46	31
47	31
48	32
49	33
50	33
51	33
52	33
53	33
54	33
55	34
56	34
57	35
40	35
24	35
58	36
59	37
60	38
61	38
62	39
63	39
64	40
65	40
66	41
67	41
68	41
69	41
70	42
71	42
72	42
73	42
74	43
75	44
76	45
77	46
78	46
79	47
80	48
81	48
82	49
83	50
84	51
85	52
86	53
87	53
88	54
89	54
90	55
91	55
92	56
93	57
94	58
95	59
96	60
97	60
98	61
99	62
100	63
101	64
73	65
102	65
103	66
64	67
65	67
104	68
105	69
106	70
107	71
108	72
109	73
110	74
111	74
112	74
113	75
114	76
115	77
116	78
117	78
118	79
119	79
120	80
121	81
122	81
123	82
124	83
125	84
126	85
127	86
128	87
129	88
130	88
131	89
132	89
133	90
134	90
135	91
136	91
137	92
138	93
96	93
139	94
140	95
141	96
142	96
143	97
144	98
145	99
146	99
147	100
148	101
149	101
150	102
151	102
152	103
153	103
154	104
155	104
156	105
157	106
158	107
159	107
160	108
161	108
162	109
163	109
164	109
165	110
166	110
167	111
168	111
169	112
170	113
171	114
172	114
173	115
174	116
175	116
176	117
177	117
178	117
179	117
180	117
181	118
182	119
183	119
184	120
185	121
186	121
187	122
188	122
189	122
190	123
191	123
192	124
193	125
194	126
195	127
196	127
197	127
198	128
199	128
200	129
201	130
202	130
203	131
204	131
205	132
206	132
207	132
208	133
113	134
209	134
210	134
211	134
212	135
213	135
214	136
215	136
216	137
217	138
218	139
219	140
220	140
221	141
222	141
223	141
175	142
224	142
113	143
225	143
226	144
227	145
228	145
229	145
230	146
231	146
232	147
233	148
234	148
235	149
236	149
237	150
238	150
239	150
225	151
240	152
241	153
242	153
243	154
244	154
245	155
209	156
225	156
246	157
247	158
248	159
249	159
250	159
251	160
252	161
253	161
254	161
255	161
256	162
257	163
258	163
259	163
260	163
261	164
262	164
263	165
264	165
265	166
266	166
267	167
268	168
269	169
270	170
271	171
272	172
273	173
274	173
275	174
276	174
277	175
278	175
279	176
280	177
281	177
282	178
283	179
284	180
285	180
286	180
287	181
288	182
289	182
290	183
291	183
292	184
293	185
294	186
295	187
287	188
296	189
297	189
298	190
299	190
300	191
301	191
302	192
303	192
304	192
305	192
306	192
307	192
308	192
309	192
310	193
311	193
312	193
313	194
314	194
315	194
316	195
317	195
318	196
319	197
320	197
321	198
322	199
323	200
324	201
325	202
326	202
327	203
328	204
329	204
330	204
331	205
332	205
333	205
334	206
335	206
336	207
337	208
338	208
339	209
340	210
341	211
342	212
343	212
344	213
345	214
346	214
347	214
348	215
349	215
350	215
351	216
352	216
353	216
354	217
355	217
356	217
357	217
358	218
339	219
359	220
360	221
361	222
362	222
363	223
364	224
365	224
366	225
367	225
368	226
369	226
370	226
371	227
372	227
373	227
374	228
375	229
376	229
377	230
378	231
379	232
380	233
381	234
382	235
383	236
384	237
385	237
386	237
387	238
388	238
389	239
390	240
391	240
392	241
393	241
394	242
395	242
396	242
339	243
397	244
398	244
399	244
400	245
401	246
402	247
403	248
404	248
233	249
405	250
406	251
407	251
408	251
409	251
410	252
411	252
412	252
413	253
414	253
415	253
416	253
339	254
417	254
418	255
419	256
420	256
421	257
422	258
423	259
424	260
425	260
426	261
427	262
428	262
429	263
430	263
431	264
432	265
433	265
434	266
435	266
436	266
437	266
438	266
439	267
440	267
441	268
442	268
335	269
443	269
444	269
445	269
446	270
447	270
448	270
449	271
450	272
451	273
452	273
453	274
454	275
455	276
456	276
457	276
458	277
459	278
339	279
460	280
461	281
462	281
463	282
464	282
465	282
466	283
467	283
468	284
469	284
470	285
471	285
472	286
473	287
474	288
475	289
476	290
477	290
478	291
479	291
480	291
481	292
482	293
483	293
484	294
485	294
486	294
487	295
488	295
489	296
490	296
339	297
491	298
492	299
493	300
494	301
495	302
496	302
497	302
498	303
391	303
499	304
500	304
501	305
502	306
503	306
504	306
505	307
381	308
506	309
507	310
508	311
509	312
510	313
511	313
512	313
513	314
376	315
514	315
375	315
515	316
365	317
384	317
364	317
516	318
517	318
518	319
519	320
520	320
521	321
522	322
327	323
523	324
524	324
525	325
526	325
527	325
528	326
529	326
530	327
531	328
532	329
533	329
534	330
535	330
536	330
537	330
538	330
539	330
540	330
541	330
542	331
543	331
544	332
545	333
546	333
547	334
548	335
549	335
550	336
551	337
552	338
553	338
554	338
555	339
556	339
557	339
558	340
559	340
560	340
561	341
562	341
563	342
564	343
565	343
566	344
567	344
568	344
569	344
570	345
571	346
572	346
573	346
574	346
575	346
576	347
577	347
578	347
579	347
580	347
581	347
582	347
583	347
584	347
585	347
586	347
587	347
588	347
589	347
590	347
591	347
592	348
593	348
594	348
595	348
596	349
597	350
598	351
599	352
600	352
601	353
602	353
603	353
604	354
605	355
606	355
607	355
608	356
609	357
610	358
611	359
476	360
477	360
612	361
613	362
614	362
615	363
616	364
617	364
618	365
464	365
619	365
620	366
621	367
622	368
623	369
624	370
625	371
626	372
339	373
627	374
628	374
629	375
630	376
631	377
632	377
633	377
634	378
635	379
636	380
637	381
638	382
639	382
640	383
641	384
642	385
570	386
643	386
644	387
367	387
645	388
646	388
647	388
648	388
649	389
650	389
651	390
652	390
653	391
654	391
339	392
655	393
656	394
657	394
658	395
659	396
660	396
661	396
662	397
663	397
454	398
664	399
665	400
666	401
667	401
668	402
669	403
670	403
671	403
672	404
673	405
674	406
675	407
676	408
677	409
678	410
679	411
375	411
680	411
681	412
682	413
683	413
684	414
685	414
686	415
687	416
688	417
689	418
690	418
691	419
692	419
693	420
694	421
695	421
696	421
697	421
698	421
699	422
700	422
701	423
447	423
702	423
703	423
704	424
705	425
706	425
707	426
339	427
708	428
709	428
261	429
262	429
710	430
711	431
712	432
713	433
714	434
715	435
716	436
717	436
718	437
719	437
720	438
721	438
722	439
723	440
724	440
725	440
359	441
726	442
727	442
728	442
729	442
730	443
731	444
732	445
733	445
734	445
735	446
736	447
737	447
738	448
739	449
740	450
741	450
742	450
743	451
744	451
745	452
746	453
747	453
748	454
339	455
749	456
750	456
751	457
598	457
752	458
339	459
753	460
754	461
755	461
756	462
757	463
758	464
759	464
760	465
761	465
762	466
763	466
339	467
764	468
749	469
750	469
765	470
766	471
767	472
768	472
769	473
770	473
771	474
665	474
686	475
772	475
773	476
774	476
775	477
476	478
477	478
776	479
777	479
628	480
627	480
778	481
779	482
673	483
780	484
327	485
781	486
782	487
783	487
784	488
785	489
786	489
787	489
788	490
789	490
790	491
791	492
549	492
792	492
793	493
794	494
795	495
796	495
797	495
798	496
799	496
800	497
801	497
802	497
803	498
804	499
805	500
806	501
807	501
808	501
809	502
810	502
811	503
812	504
813	505
814	505
815	505
816	505
339	506
817	507
818	508
819	509
820	510
821	511
822	511
823	511
824	512
825	512
826	512
827	513
828	514
829	515
830	515
831	516
832	517
833	518
834	519
835	519
836	520
837	520
838	521
839	521
840	521
841	522
842	522
843	522
844	522
845	522
846	523
847	524
848	525
849	526
850	526
851	526
852	527
853	527
854	528
855	528
856	529
857	529
858	529
859	530
860	530
861	531
862	531
863	532
864	533
865	533
866	534
860	534
867	534
868	535
869	535
870	536
871	537
872	537
873	537
874	537
875	538
876	539
877	540
878	541
879	542
880	542
881	543
882	543
883	544
884	545
885	545
886	546
887	546
888	546
889	547
890	547
877	548
891	549
892	549
893	550
894	550
895	550
896	551
897	551
898	552
899	552
900	553
901	553
902	553
903	554
904	554
879	555
880	555
883	556
859	557
860	557
905	558
906	558
907	559
908	559
909	560
910	560
911	561
912	562
913	563
914	563
915	564
916	565
917	565
918	566
919	566
879	567
920	568
921	569
922	569
923	570
924	570
925	571
926	572
927	573
928	573
863	574
871	575
872	575
873	575
874	575
929	576
930	576
931	576
884	577
885	577
932	578
933	578
934	578
935	578
920	579
936	579
863	580
937	580
938	581
880	581
900	582
901	582
902	582
939	583
940	583
941	583
942	583
943	583
944	584
945	585
946	585
947	586
946	586
948	587
916	588
949	588
950	588
951	588
952	588
953	588
954	589
920	590
955	590
945	591
946	591
956	592
957	592
911	593
958	594
864	594
872	595
959	595
873	595
960	596
961	596
962	597
963	598
964	598
910	598
965	599
966	599
967	600
878	600
968	601
969	601
970	601
971	602
972	602
973	602
974	603
975	603
976	604
883	605
977	606
978	606
979	606
980	606
938	607
