id_nota_rec	nota	id_curriculo_id	id_producao_id
1	5.0	859	9444.0
2	5.0	859	9436.0
3	5.0	859	9437.0
4	5.0	859	9438.0
5	5.0	859	9439.0
6	5.0	859	9440.0
7	5.0	859	9441.0
8	5.0	859	9442.0
11	5.0	859	9446.0
12	5.0	859	9447.0
19	5.0	1237	14436.0
20	5.0	1237	14433.0
21	5.0	1237	14432.0
22	5.0	1237	14434.0
34	5.0	921	10441.0
35	5.0	921	10439.0
36	5.0	921	10440.0
37	5.0	921	10442.0
38	5.0	921	10443.0
39	5.0	921	10444.0
40	5.0	921	10445.0
41	5.0	921	10446.0
42	5.0	921	10447.0
43	5.0	921	10448.0
44	5.0	921	10449.0
45	5.0	921	10450.0
46	5.0	921	10451.0
50	5.0	1014	11478.0
51	5.0	1014	11477.0
52	5.0	1014	11479.0
60	5.0	21	324.0
61	5.0	21	325.0
67	5.0	1587	19411.0
68	5.0	1587	19412.0
74	5.0	618	6980.0
79	5.0	69	23005.0
80	5.0	69	848.0
92	5.0	203	2202.0
93	5.0	203	2203.0
95	5.0	203	2205.0
96	5.0	203	2206.0
103	5.0	117	1331.0
113	5.0	1171	13667.0
114	5.0	1171	13654.0
115	5.0	1171	13651.0
116	5.0	1171	13652.0
117	5.0	1171	13653.0
118	5.0	1171	13655.0
119	5.0	1171	13656.0
120	5.0	1171	13657.0
121	5.0	1171	13658.0
123	5.0	1171	13660.0
124	5.0	1171	13661.0
125	5.0	1171	13662.0
126	5.0	1171	13663.0
127	5.0	1171	13664.0
128	5.0	1171	13665.0
132	5.0	1171	13670.0
158	5.0	68	840.0
160	5.0	223	2481.0
161	5.0	1057	12028.0
162	5.0	1057	12029.0
165	5.0	79	960.0
166	5.0	1614	19640.0
167	5.0	1614	19638.0
168	5.0	1614	19639.0
169	5.0	1614	19641.0
170	5.0	1614	19642.0
171	5.0	1614	19643.0
194	5.0	1287	14996.0
195	5.0	1287	14997.0
200	5.0	1647	19920.0
202	5.0	1647	19922.0
203	5.0	1647	19923.0
223	5.0	1465	17347.0
226	5.0	994	11276.0
227	5.0	994	11277.0
229	5.0	1742	21478.0
230	5.0	1742	21479.0
231	5.0	1742	21480.0
233	5.0	24	329.0
234	5.0	24	335.0
235	5.0	24	330.0
236	5.0	24	331.0
237	5.0	24	332.0
238	5.0	24	333.0
239	5.0	24	334.0
240	5.0	24	336.0
266	5.0	235	2541.0
268	5.0	235	2534.0
269	5.0	235	2535.0
270	5.0	235	2537.0
271	5.0	235	2538.0
272	5.0	235	2539.0
273	5.0	235	2540.0
298	5.0	1356	15730.0
299	5.0	1356	15729.0
300	5.0	1356	15731.0
301	5.0	1356	15732.0
